Source_File,Material,Temperature,Mode,Interpolated_Spectrum_ID,Time_Relative_s,Derivative_Point_Index,Freq_Hz_left,Freq_Hz_right,Eps_real_left,Eps_real_right,Freq_Hz_mid,Omega_rad_s,Eps_real_derivative,Derivative_Manual_Removed,Derivative_Manual_Removal_Reason
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,23,-342.15999999999997,1,150.0,225.0,5.859358724058416,5.827010833653477,183.7117307087384,1154.294847145678,0.12531768187088196,True,Zweiter Ableitungspunkt von vorne 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,23,-342.15999999999997,20,332530.0,498790.0,3.550204435125175,3.4375207446808513,407262.37083727744,2558904.9446119056,0.4365542178857554,True,Dritter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,23,-342.15999999999997,21,498790.0,748180.0,3.4375207446808513,3.4022621171686365,610888.4531565475,3838325.3531988845,0.13659630466506795,True,Zweiter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,24,-333.7,1,150.0,225.0,5.859163643351268,5.826880829811756,183.7117307087384,1154.294847145678,0.1250655701623081,True,Zweiter Ableitungspunkt von vorne 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,24,-333.7,20,332530.0,498790.0,3.5500216673020715,3.4373707446808512,407262.37083727744,2558904.9446119056,0.4364272702207446,True,Dritter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,24,-333.7,21,498790.0,748180.0,3.4373707446808512,3.4021116024907867,610888.4531565475,3838325.3531988845,0.13659829859101794,True,Zweiter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,25,-330.93999999999994,1,150.0,225.0,5.8591,5.826838417210911,183.7117307087384,1154.294847145678,0.12498332095242043,True,Zweiter Ableitungspunkt von vorne 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,25,-330.93999999999994,20,332530.0,498790.0,3.5499620409200663,3.4373218085106383,407262.37083727744,2558904.9446119056,0.4363858546704588,True,Dritter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,25,-330.93999999999994,21,498790.0,748180.0,3.4373218085106383,3.402062498411488,610888.4531565475,3838325.3531988845,0.13659894909168263,True,Zweiter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,26,-328.43999999999994,1,150.0,225.0,5.8590519230769225,5.8268,183.7117307087384,1154.294847145678,0.12494589864385068,True,Zweiter Ableitungspunkt von vorne 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,26,-328.43999999999994,20,332530.0,498790.0,3.549908031516076,3.437277482269504,407262.37083727744,2558904.9446119056,0.43634834058505223,True,Dritter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,26,-328.43999999999994,21,498790.0,748180.0,3.437277482269504,3.40201802007879,610888.4531565475,3838325.3531988845,0.13659953831329985,True,Zweiter Ableitungspunkt von hinten 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,27,-325.96999999999997,1,150.0,225.0,5.8590044230769225,5.826749488752557,183.7117307087384,1154.294847145678,0.12495756439838436,True,Zweiter Ableitungspunkt von vorne 70C Des manuell entfernt
PEI5mgmL_70°C_Des.TXT,PEI5mgmL,70°C,Des,27,-325.96999999999997,20,332530.0,498790.0,3.5498546702249336,3.4372336879432623,407262.37083727744,2558904.9446119056,0.43631127666867436,True,Dritter Ableitungspunkt von hinten 70C Des manuell entfernt
